"GeneID","GeneSymbol","GeneBiotype","Myometrim-55_12640","Myometrium-55_11564","Myometrium-55.11911","061919Myometrium","Myometrium-55_12745","Fibroid55-12906","Fibroid-55_12382","Fibroid-55_12640","Fibroid-55_12843","Fibroid061919"
"ENSG00000158292","GPR153","Gene",4,6,5,4,6,93,30,6,24,44
"ENSG00000097021","ACOT7","Gene",61,205,42,111,24,135,70,101,396,107
"ENSG00000271746","RP1-202O8.3","Gene",3,NA,1,20,3,13,7,3,19,20
"ENSG00000069812","HES2","Gene",0,8,6,3,0,7,0,1,6,15
"ENSG00000187017","ESPN","Gene",2,24,6,6,3,0,2,3,2,79
"ENSG00000231868","RP1-202O8.2","Gene",0,NA,0,0,0,0,0,0,0,0
"ENSG00000215788","TNFRSF25","Gene",61,144,73,53,28,374,37,44,182,441
"ENSG00000171680","PLEKHG5","Gene",71,232,14,124,26,172,15,53,178,137
"ENSG00000162408","NOL9","Gene",85,450,116,218,63,374,114,73,242,206
"ENSG00000173662","TAS1R1","Gene",0,2,0,2,0,10,0,1,0,7
"ENSG00000204859","ZBTB48","Gene",80,384,88,202,59,473,67,67,219,328
"ENSG00000162413","KLHL21","Gene",64,152,71,70,37,351,55,21,87,172
"ENSG00000116273","PHF13","Gene",41,161,49,185,53,327,47,46,111,134
"ENSG00000041988","THAP3","Gene",60,381,75,133,38,270,77,62,178,203
"ENSG00000007923","DNAJC11","Gene",67,378,74,212,86,583,77,86,210,473
"ENSG00000228750","RP11-242F24.1","Gene",0,NA,0,0,0,3,0,0,0,3
"ENSG00000237436","RP11-312B8.1","Gene",1,NA,0,2,0,5,0,4,3,0
"ENSG00000171735","CAMTA1","Gene",328,1835,256,1395,115,810,268,432,1656,729
"ENSG00000237365","RP11-334N17.1","Gene",0,NA,0,0,0,0,0,0,1,0
"ENSG00000237728","RP3-453P22.2","Gene",0,NA,0,0,0,0,0,0,1,0
"ENSG00000225126","RP4-549F15.1","Gene",5,NA,1,28,0,2,1,7,61,4
"ENSG00000270171","RP11-338N10.1","Gene",0,NA,0,1,2,22,0,0,0,21
"ENSG00000270035","RP11-338N10.2","Gene",0,NA,0,0,4,10,0,0,0,11
"ENSG00000269978","RP11-338N10.3","Gene",0,NA,0,1,1,19,0,1,0,12
"ENSG00000049245","VAMP3","Gene",441,3162,292,1872,106,613,328,535,1701,515
"ENSG00000049246","PER3","Gene",121,625,91,276,266,784,100,139,127,465
"ENSG00000236266","RP3-467L1.4","Gene",2,NA,3,2,1,2,2,1,5,2
"ENSG00000049247","UTS2","Gene",8,107,4,8,1,7,17,2,5,3
"ENSG00000049249","TNFRSF9","Gene",28,16,6,18,5,5,31,7,14,17
"ENSG00000116288","PARK7","Gene",937,4521,1303,2475,231,703,1284,1016,4200,1457
"ENSG00000116285","ERRFI1","Gene",129,609,109,546,191,576,123,48,196,570
"ENSG00000238290","RP11-431K24.1","Gene",1,NA,1,3,1,8,1,2,6,12
"ENSG00000227634","RP11-431K24.3","Gene",0,NA,0,0,0,2,0,0,0,1
"ENSG00000233645","RP11-431K24.4","Gene",0,NA,0,0,0,0,0,0,0,0
"ENSG00000162426","SLC45A1","Gene",10,105,8,79,20,153,31,9,61,67
"ENSG00000142599","RERE","Gene",336,1519,347,981,1076,2649,202,462,880,2767
"ENSG00000232912","RP5-1115A15.1","Gene",4,NA,0,6,3,13,0,1,3,9
"ENSG00000228423","RP4-633I8.4","Gene",1,NA,0,2,1,3,0,1,0,7
"ENSG00000074800","ENO1","Gene",1156,5090,1436,3193,455,2294,1468,1270,4336,2224
"ENSG00000230679","ENO1-AS1","Gene",1,18,0,5,1,2,3,0,10,8
"ENSG00000131686","CA6","Gene",0,0,3,0,0,2,0,1,0,1
"ENSG00000197241","SLC2A7","Gene",0,0,0,2,0,0,0,0,4,0
"ENSG00000142583","SLC2A5","Gene",6,7,0,7,1,57,5,51,6,28
"ENSG00000180758","GPR157","Gene",16,123,28,44,9,52,9,6,47,37
"ENSG00000228526","MIR34AHG","Gene",4,23,11,9,9,508,34,64,97,275
"ENSG00000234546","RP3-510D11.2","Gene",1,NA,2,7,0,58,12,13,38,44
"ENSG00000281937","RP3-510D11.4","Gene",0,NA,0,0,0,1,0,1,0,0
"ENSG00000049239","H6PD","Gene",71,602,112,197,156,586,82,86,347,325
"ENSG00000171621","SPSB1","Gene",35,304,59,294,63,1136,16,110,224,275
"ENSG00000235263","RP13-392I16.1","Gene",0,NA,0,0,0,0,0,0,0,0
"ENSG00000171612","SLC25A33","Gene",171,451,68,301,16,59,58,64,120,50
"ENSG00000188807","TMEM201","Gene",22,141,17,33,16,124,9,21,69,126
"ENSG00000171608","PIK3CD","Gene",119,184,178,66,60,105,195,57,112,172
"ENSG00000179840","PIK3CD-AS1","Gene",0,1,4,0,0,2,1,1,0,1
"ENSG00000231789","PIK3CD-AS2","Gene",3,15,3,11,0,10,8,5,20,26
"ENSG00000171603","CLSTN1","Gene",198,1278,284,591,218,2295,240,194,763,1510
"ENSG00000280113","AL357140.1","Gene",0,NA,0,0,0,1,0,0,0,1
"ENSG00000178585","CTNNBIP1","Gene",132,671,195,146,35,187,58,128,411,121
"ENSG00000223989","RP11-84A14.5","Gene",0,NA,0,0,0,0,0,0,0,0
"ENSG00000162441","LZIC","Gene",121,572,117,329,54,256,158,121,374,212
"ENSG00000173614","NMNAT1","Gene",34,190,39,103,33,105,30,33,118,73
"ENSG00000162444","RBP7","Gene",236,1299,187,805,69,99,144,225,609,252
"ENSG00000130939","UBE4B","Gene",90,415,102,197,199,831,72,85,246,575
"ENSG00000054523","KIF1B","Gene",200,354,98,200,436,1585,41,127,340,681
"ENSG00000142657","PGD","Gene",266,933,422,495,121,309,319,189,623,421
"ENSG00000271989","RP4-736L20.3","Gene",0,NA,0,0,0,2,0,0,0,0
"ENSG00000251503","APITD1-CORT","Gene",4,NA,4,4,0,5,2,2,24,11
"ENSG00000175279","APITD1","Gene",17,NA,24,53,6,20,15,13,65,40
"ENSG00000241563","CORT","Gene",1,5,1,2,0,7,0,0,1,4
"ENSG00000160049","DFFA","Gene",125,829,106,420,88,363,126,158,408,300
"ENSG00000203469","RP5-1113E3.3","Gene",3,NA,1,0,0,0,0,0,1,0
"ENSG00000142655","PEX14","Gene",62,375,49,201,31,210,89,59,140,182
"ENSG00000130940","CASZ1","Gene",42,267,61,116,196,971,33,81,139,336
"ENSG00000272078","RP4-734G22.3","Gene",2,NA,3,5,0,15,4,0,2,7
"ENSG00000175262","C1orf127","Gene",3,1,0,2,1,2,0,0,3,1
"ENSG00000120948","TARDBP","Gene",189,894,193,540,208,1780,154,218,713,1024
"ENSG00000277726","RP4-635E18.9","Gene",0,NA,0,0,1,7,0,0,0,0
"ENSG00000009724","MASP2","Gene",0,1,0,1,0,8,1,1,1,1
"ENSG00000271895","RP4-635E18.8","Gene",7,NA,0,9,12,127,3,2,10,49
"ENSG00000116649","SRM","Gene",118,566,147,89,26,515,27,87,378,181
"ENSG00000171824","EXOSC10","Gene",186,795,193,533,235,873,244,188,454,632
"ENSG00000226849","RP4-635E18.7","Gene",0,NA,0,0,2,8,2,1,2,10
"ENSG00000230337","RP4-635E18.6","Gene",0,NA,2,3,2,1,1,1,6,4
"ENSG00000198793","MTOR","Gene",116,376,117,218,164,508,75,91,245,351
"ENSG00000225602","MTOR-AS1","Gene",0,0,0,0,0,1,0,0,0,0
"ENSG00000171819","ANGPTL7","Gene",0,2,0,0,1,0,0,0,2,0
"ENSG00000120942","UBIAD1","Gene",77,310,115,152,26,91,115,52,215,145
"ENSG00000204624","PTCHD2","Gene",2,NA,1,1,0,2,3,0,3,6
"ENSG00000235643","RP1-69M21.2","Gene",0,NA,0,0,0,2,0,0,0,1
"ENSG00000116661","FBXO2","Gene",30,78,67,16,7,2,47,11,19,55
"ENSG00000132879","FBXO44","Gene",96,546,196,190,59,327,175,89,280,409
"ENSG00000116663","FBXO6","Gene",125,258,223,208,43,42,163,39,143,143
"ENSG00000116670","MAD2L2","Gene",167,1037,302,551,66,259,266,152,708,272
"ENSG00000162490","DRAXIN","Gene",17,42,65,6,6,5,66,9,23,16
"ENSG00000177674","AGTRAP","Gene",327,1864,974,1221,171,259,646,175,1087,902
"ENSG00000215910","C1orf167","Gene",4,95,1,32,4,8,4,3,13,10
"ENSG00000177553","RP11-56N19.5","Gene",0,NA,0,1,0,0,0,0,0,1
"ENSG00000177000","MTHFR","Gene",103,420,99,199,78,244,78,55,210,207
"ENSG00000011021","CLCN6","Gene",57,210,55,158,90,495,58,57,147,359
"ENSG00000242349","NPPA-AS1","Gene",3,10,2,4,11,67,1,1,11,53
"ENSG00000175206","NPPA","Gene",0,0,0,2,0,5,2,1,6,3
"ENSG00000120937","NPPB","Gene",0,0,0,0,0,0,0,0,0,1
"ENSG00000116685","KIAA2013","Gene",52,211,57,98,27,376,45,46,188,240
"ENSG00000083444","PLOD1","Gene",138,1064,298,483,76,1248,197,194,687,672
"ENSG00000116688","MFN2","Gene",88,385,107,222,124,406,67,79,198,185
"ENSG00000116691","MIIP","Gene",133,523,171,269,120,841,174,112,487,441
"ENSG00000120949","TNFRSF8","Gene",24,66,28,25,10,7,36,19,33,17
"ENSG00000028137","TNFRSF1B","Gene",1039,2476,926,1388,245,218,1166,283,888,466
"ENSG00000048707","VPS13D","Gene",129,662,153,382,398,1263,98,151,395,782
"ENSG00000229484","RP5-888M10.2","Gene",0,NA,0,0,0,1,0,0,0,1
"ENSG00000162496","DHRS3","Gene",185,1037,326,445,83,210,226,129,564,593
"ENSG00000272482","RP11-474O21.5","Gene",8,NA,5,11,1,1,4,9,11,14
"ENSG00000204518","AADACL4","Gene",0,0,1,1,0,2,0,0,1,2
"ENSG00000188984","AADACL3","Gene",0,0,0,0,0,2,0,0,0,0
"ENSG00000157330","C1orf158","Gene",0,0,2,8,0,5,0,1,1,148
"ENSG00000116726","PRAMEF12","Gene",0,0,0,0,1,0,0,0,0,0
"ENSG00000116721","PRAMEF1","Gene",0,0,0,0,0,0,0,0,1,0
"ENSG00000228338","RP5-845O24.8","Gene",0,NA,0,0,0,0,0,0,0,0
"ENSG00000239810","PRAMEF11","Gene",0,0,0,0,0,0,0,0,0,0
"ENSG00000179172","HNRNPCL1","Gene",0,0,0,0,0,0,0,0,0,0
"ENSG00000120952","PRAMEF2","Gene",0,0,0,0,0,0,0,0,0,1
"ENSG00000243073","PRAMEF4","Gene",0,0,0,0,0,0,0,0,0,1
"ENSG00000187545","PRAMEF10","Gene",0,0,0,0,0,1,0,0,0,0
"ENSG00000204510","PRAMEF7","Gene",0,0,0,0,0,0,0,0,0,0
"ENSG00000232423","PRAMEF6","Gene",0,0,0,0,0,0,0,0,0,0
"ENSG00000274764","PRAMEF27","Gene",0,0,0,0,0,0,0,0,0,0
"ENSG00000280267","PRAMEF26","Gene",0,0,0,0,0,0,0,0,0,0
"ENSG00000229571","PRAMEF25","Gene",0,0,0,0,0,0,0,0,0,0
"ENSG00000277058","HNRNPCL3","Gene",0,0,0,0,0,1,0,0,0,1
"ENSG00000275774","HNRNPCL2","Gene",0,0,0,0,0,0,0,0,0,0
"ENSG00000233336","RP13-221M14.2","Gene",0,NA,0,0,0,1,0,0,1,0
"ENSG00000179412","HNRNPCL4","Gene",0,0,0,0,0,0,0,0,0,0
"ENSG00000204505","PRAMEF9","Gene",0,0,0,0,0,1,0,0,0,0
"ENSG00000279804","PRAMEF18","Gene",0,0,0,0,0,1,0,1,0,0
"ENSG00000270601","PRAMEF5","Gene",0,0,0,0,0,0,0,0,0,0
"ENSG00000182330","PRAMEF8","Gene",0,0,0,0,0,0,0,0,0,0
"ENSG00000204501","PRAMEF15","Gene",0,0,0,0,0,0,0,0,0,0
"ENSG00000228229","RP11-219C24.10","Gene",0,NA,0,0,0,0,0,0,0,0
"ENSG00000204481","PRAMEF14","Gene",0,0,0,0,1,0,0,0,1,1
"ENSG00000204480","PRAMEF19","Gene",0,0,0,0,0,0,0,0,0,0
"ENSG00000204479","PRAMEF17","Gene",0,0,0,0,0,0,0,0,1,0
"ENSG00000204478","PRAMEF20","Gene",0,0,0,0,1,1,0,0,0,0
"ENSG00000162494","LRRC38","Gene",0,7,2,5,0,5,19,6,74,1
"ENSG00000259961","RP4-597A16.2","Gene",0,NA,0,0,0,0,0,0,0,0
"ENSG00000162493","PDPN","Gene",35,315,40,775,90,110,192,407,2890,151
"ENSG00000237445","CTA-520D8.2","Gene",0,NA,0,0,0,0,0,0,0,0
"ENSG00000116731","PRDM2","Gene",209,596,219,295,238,1774,171,222,470,772
"ENSG00000231606","RP11-344F13.1","Gene",0,NA,0,0,0,0,0,0,0,0
"ENSG00000234593","RP4-704D23.1","Gene",0,NA,0,0,0,1,0,0,0,0
"ENSG00000189337","KAZN","Gene",10,101,20,86,25,112,20,13,85,187
"ENSG00000175147","TMEM51-AS1","Gene",0,4,2,1,3,11,1,1,2,11
"ENSG00000171729","TMEM51","Gene",51,197,50,184,13,46,34,50,143,103
"ENSG00000204464","C1orf195","Gene",0,0,0,0,0,0,0,0,0,0
"ENSG00000142621","FHAD1","Gene",11,26,12,28,3,25,40,14,16,194
"ENSG00000233485","RP3-467K16.2","Gene",1,NA,1,5,2,9,1,0,1,5
"ENSG00000236045","RP3-467K16.7","Gene",0,NA,0,0,0,3,1,0,0,5
"ENSG00000228140","RP3-467K16.4","Gene",5,NA,17,5,4,0,13,5,6,10
"ENSG00000142634","EFHD2","Gene",350,935,537,482,120,495,847,159,717,428
"ENSG00000162438","CTRC","Gene",0,0,0,2,1,14,0,0,3,8
"ENSG00000142615","CELA2A","Gene",0,0,0,0,0,1,0,0,0,0
"ENSG00000215704","CELA2B","Gene",0,0,0,0,0,0,0,0,1,0
"ENSG00000132906","CASP9","Gene",51,120,64,91,33,140,37,13,58,186
"ENSG00000116138","DNAJC16","Gene",47,246,45,127,54,653,37,48,208,355
"ENSG00000272510","RP4-680D5.8","Gene",0,NA,0,0,0,1,0,0,1,0
"ENSG00000116771","AGMAT","Gene",3,9,4,6,1,9,5,6,4,10
"ENSG00000237301","RP4-680D5.2","Gene",0,NA,1,0,0,17,0,1,2,30
